bph0001;Καθήστε με την πλάτη σας στην ευθεία, όσο μπορείτε, ψηλώστε - μακρύνετε και προσπαθείστε να έχετε τους ώμους σας χαλαρούς.
bph0002;Η λεκάνη σας να αγγίζει το πίσω μέρος της καρέκλας.
bph0003;Μοιράστε το βάρος σας ισόποσα και στα δύο πόδια.
bph0004;Οι πατούσες σας να ακουμπούν πλήρως στο πάτωμα.
bph0005;Εστιάζοντας σε μια λέξη, τοποθετημένη στο ύψος των ματιών και σε απόσταση χεριού, γυρίστε το κεφάλι σας συνεχόμενα δεξιά και αριστερά, προσπαθώντας πάντα να εστιάζετε στην λέξη για 1 λεπτό.
bph0006;Ενώ εστιάζετε στο δείκτη σας που είναι τοποθετημένο στο επίπεδο των ματιών και το μήκος του βραχίονα, γυρίστε τόσο το κεφάλι σας όσο και την κάρτα αριστερά και δεξιά σε αντίθετες κατευθύνσεις προσπαθώντας πάντα να διατηρήσετε το στόχο εστιασμένο. Προσπαθήστε να εξασκηθείτε για ένα λεπτό.
bph0007;Ενώ εστιάζετε στο δείκτη σας τοποθετημένο στο επίπεδο των ματιών και το μήκος των βραχιόνων, μετακινήστε το κεφάλι σας πάνω-κάτω προσπαθώντας πάντα να διατηρήσετε τον στόχο εστιασμένο. Προσπαθήστε να εξασκηθείτε για 1 λεπτό.
bph0008;Κουνήστε το κεφάλι σας πάνω ώστε να κοιτάξετε την οροφή και κάτω να κοιτάξετε το πάτωμα για 1 λεπτό
bph0009;Προοδευτικά αυξήστε την ταχύτητα καθώς η άσκηση γίνεται ευκολότερη μέχρι να μπορείτε να την εκτελέσετε σε πολύ μεγάλη ταχύτητα.
bph0010;Προσπαθείστε να διατηρήσετε το κεφάλι σας σε όρθια θέση κοιτάζωντας ευθεία μπροστά. Μην σκύβετε μπροστά ή πίσω ενώ λαμβάνετε την αρχική σας θέση.
bph0011;Ο στόχος σας είναι να σκύψετε σαν να θέλετε να πιάστε ένα αντικείμενο από το πάτωμα και να επιστρέψετε σε όρθια θέση.
bph0012;Ο στόχος είναι να στρίψετε πλάγια σαν να σηκώνετε ένα αντικείμενο από το πάτωμα και να επιστρέψετε σε όρθια θέση.
bph0013;Καθώς σκύβετε σιγουρευτείτε ότι φέρνετε το πιγούνι στο στήθος και ότι επιστρέφοντας το κεφάλι επανέρχεται στην φυσιολογική όρθια θέση του.
bph0014;Κρατήστε τα μάτια σας ανοιχτά.
bph0015;Κρατήστε τα μάτια σας κλειστά.
bph0016;Επαναλάβετε 5 φορές
bph0017;Παρακαλώ ακούστε τις οδηγίες μέχρι τέλους και μην ξεκινήσετε την άσκηση μέχρι να με δείτε να την εκτελώ. Αν σε οποιοδήποτε σημείο πρέπει να σταματήσετε απλά πείτε "ΣΤΟΠ"
bph0018;Σταθείτε με το κεφάλι και τον κορμό σας σε όρθια θέση.
bph0019;Τοποθετήστε τα πόδια σας ανοιχτά στο ύψος των ισχίων σας.
bph0020;Σταθείτε με τα πόδια ενωμένα. αν μπορείτε οι πτέρνες και τα δάκτυλα να ακουμπούν.
bph0021;Για τη συγκεκριμένη άσκηση πρέπει να διατηρήσετε την ισορροπία σας σε αυτή την θέση για 1 λεπτό.
bph0022;Μόλις αισθανθείτε πίεση στα δάκτυλα ή τις πτέρνες επιστρέψτε στην αρχική σας θέση με το βάρος να πέφτει στο μπροστινό τμήμα του πέλματος
bph0023;Σταθείτε πάνω στο αφρώδες μαξιλάρι.
bph0024;Για αυτή την άσκηση θα πρέπει να σκύψετε σαν να θέλετε να πιάσετε ένα αντικείμενο από το πάτωμα.
bph0025;Για αυτή την άσκηση θα πρέπει να σηκώσετε τα χέρια σαν να θέλετε να πιάσετε ένα αντικέιμενο από ένα ντουλάπι.
